species,kType
Abies alba,E5
Larix decidua,D2
Picea abies,E5
Pinus cembra,E5
Pinus montana,E5
Pinus sylvestris,E4
Taxus baccata,E5
Acer campestre,D2
Acer platanoides,D3
Acer pseudoplatanus,D3
Alnus glutinosa,D2
Alnus incana,D2
Alnus viridis,D2
Betula pendula,D1
Carpinus betulus,D3
Castanea sativa,D3
Corylus avellana,D3
Fagus sylvatica,D3
Fraxinus excelsior,D2
Populus nigra,D2
Populus tremula,D2
Quercus petraea,D3
Quercus pubescens,D3
Quercus robur,D3
Salix alba,D1
Sorbus aria,D2
Sorbus aucuparia,D1
Tilia cordata,D3
Tilia platyphyllos,D3
Ulmus glabra,D3
